,ROTATION,BLOB,CONTRAST,EDGE,cr_mean,normal_32_mean,normal_256_mean,sample_mean,cr_margin,normal_32_margin,normal_256_margin,max_diff_ratio,max_diff_sample_ratio,sample_cr_ratio
ROT0_BLO0_CON0_EDG0,0,0,0,0,-inf,-inf,-inf,-inf,,,,-inf,-0.22380682964128837,-0.5149987993066579
ROT0_BLO0_CON0_EDG1,0,0,0,1,0.15130640612951324,-0.006826115314900183,0.19395481514103946,0.1556357723713519,0.00881046340127138,0.0024417515599221363,0.008333841296385043,-0.21988837441603748,-0.19756685463994714,0.02861323821367397
ROT0_BLO0_CON1_EDG0,0,0,1,0,0.318343621143933,0.18550114190863015,0.19663560275504727,0.13038505609558526,0.017307393582663644,0.030750997331529608,0.007942482328883775,0.6189520955698941,-0.3369204036869741,-0.590426672828999
ROT0_BLO0_CON1_EDG1,0,0,1,1,0.1517107848581195,0.05751540749536686,0.09349136899454,0.07930077129939249,0.014704110033265742,0.005845271333602272,0.02403340179495184,0.6227250332271804,-0.15178510966051054,-0.4772898223843818
ROT0_BLO1_CON0_EDG0,0,1,0,0,0.15400515188609956,0.22341016287234838,1.0336776424879628e-05,-0.0005635442202431729,0.010432749548381842,0.012482360045506808,0.00014026634605331619,-0.3106618342420945,-1.0025224645691933,-1.0036592556374995
ROT0_BLO1_CON0_EDG1,0,1,0,1,0.1277994170833875,0.07660740236846458,0.08831508378640837,0.06180073787978284,0.012953361351804249,0.010187418673187731,0.0105881481537361,0.44708481953629453,-0.30022443245087055,-0.5164239455062721
ROT0_BLO1_CON1_EDG0,0,1,1,0,0.13416372009152594,0.08698478408722089,0.04691106459151171,0.040498815110537656,0.004336487741645926,0.019839981992485847,0.0019857037777580686,0.5423814808460989,-0.5344149492866601,-0.6981388479470491
ROT0_BLO1_CON1_EDG1,0,1,1,1,0.08218827059907874,0.02835101954257808,0.03701962920510757,0.035457726669370235,0.008146781614902525,0.026083992210273133,0.009541960333323418,1.2201267912143023,-0.042191198811949174,-0.5685792338625059
ROT1_BLO0_CON0_EDG0,1,0,0,0,0.010636058344121523,-0.0008749028256548551,0.0066174618866001065,0.004841131893875805,0.00043563012507248584,0.003452972134256886,0.0057007572831432336,0.6072715682214643,-0.26843071001606283,-0.5448377832045773
ROT1_BLO0_CON0_EDG1,1,0,0,1,0.6303125209009676,0.09834184813965681,0.5573570136488228,0.5408837868649559,0.0008781044993394315,0.012186672434291538,0.004259299896972166,0.13089546819287398,-0.029555969298784783,-0.14187998979963531
ROT1_BLO0_CON1_EDG0,1,0,1,0,0.5710171338684561,0.421155503562253,0.5218228398786143,0.4931115642454117,0.0023370721467994254,0.00945387006467908,0.014761299818066693,0.09427393787762389,-0.05502111720499128,-0.13643298073257348
ROT1_BLO0_CON1_EDG1,1,0,1,1,0.1437729134402605,0.07685747490568887,0.13283962602559898,0.07529959615521833,0.03036346108951525,0.005443050207667132,0.05872755297296284,0.08230441278534316,-0.4331541091458082,-0.4762602053932343
ROT1_BLO1_CON0_EDG0,1,1,0,0,0.5918198965361436,0.42075479024149587,0.2586349385742997,0.20549963303840152,0.014972167446970422,0.00406857558922883,0.022597015731219396,0.40656722219719343,-0.5115928854417718,-0.6527666030811601
ROT1_BLO1_CON0_EDG1,1,1,0,1,0.12562819872942982,0.06481831563076035,0.06798927036471458,0.04796267247178641,0.010712180734057348,0.007860879911750333,0.002453299643557298,0.8477650672749237,-0.2945552700521651,-0.6182173034647626
ROT1_BLO1_CON1_EDG0,1,1,1,0,0.1246133602626275,0.1051152787975542,0.057479213342263503,0.04336532248394891,0.03690914652059283,0.0072225565026127056,0.017793636726852573,0.18549236312853673,-0.5874498647578346,-0.6520010182491283
ROT1_BLO1_CON1_EDG1,1,1,1,1,0.0772581816525168,0.049495675358077404,0.048405507478330514,0.031596560992196945,0.00618430024543305,0.0012742019888415943,0.008477111477195036,0.5609077175650401,-0.3616298643545921,-0.5910263441830871
